,timesteps,units,numerical units,dropout,learning_rate,cnn_filter,cnn_kernel,cnn_pool,f1_score,threshold,best_report,confusion_matrix
30,10,128,8,0.5,0.001,128,2,2,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
31,10,128,8,0.5,0.001,128,2,3,0.546218487394958,0.5,"{'0': {'precision': 0.5555555555555556, 'recall': 0.2631578947368421, 'f1-score': 0.35714285714285715, 'support': 19.0}, '1': {'precision': 0.6410256410256411, 'recall': 0.8620689655172413, 'f1-score': 0.7352941176470589, 'support': 29.0}, 'accuracy': 0.625, 'macro avg': {'precision': 0.5982905982905984, 'recall': 0.5626134301270417, 'f1-score': 0.546218487394958, 'support': 48.0}, 'weighted avg': {'precision': 0.6071937321937323, 'recall': 0.625, 'f1-score': 0.585609243697479, 'support': 48.0}}","[[ 5 14]
 [ 4 25]]"
32,10,128,8,0.5,0.001,128,3,2,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
33,10,128,8,0.5,0.001,128,3,3,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
34,10,128,8,0.5,0.001,128,5,2,0.5555555555555556,0.5,"{'0': {'precision': 0.47058823529411764, 'recall': 0.42105263157894735, 'f1-score': 0.4444444444444444, 'support': 19.0}, '1': {'precision': 0.6451612903225806, 'recall': 0.6896551724137931, 'f1-score': 0.6666666666666666, 'support': 29.0}, 'accuracy': 0.5833333333333334, 'macro avg': {'precision': 0.5578747628083491, 'recall': 0.5553539019963702, 'f1-score': 0.5555555555555556, 'support': 48.0}, 'weighted avg': {'precision': 0.5760594560404807, 'recall': 0.5833333333333334, 'f1-score': 0.5787037037037037, 'support': 48.0}}","[[ 8 11]
 [ 9 20]]"
35,10,128,8,0.5,0.001,128,5,3,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
36,10,128,8,0.5,0.0005,64,2,2,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
37,10,128,8,0.5,0.0005,64,2,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
38,10,128,8,0.5,0.0005,64,3,2,0.4079696394686907,0.5,"{'0': {'precision': 0.4186046511627907, 'recall': 0.9473684210526315, 'f1-score': 0.5806451612903226, 'support': 19.0}, '1': {'precision': 0.8, 'recall': 0.13793103448275862, 'f1-score': 0.23529411764705882, 'support': 29.0}, 'accuracy': 0.4583333333333333, 'macro avg': {'precision': 0.6093023255813954, 'recall': 0.542649727767695, 'f1-score': 0.4079696394686907, 'support': 48.0}, 'weighted avg': {'precision': 0.649031007751938, 'recall': 0.4583333333333333, 'f1-score': 0.3719955724225174, 'support': 48.0}}","[[18  1]
 [25  4]]"
39,10,128,8,0.5,0.0005,64,3,3,0.37662337662337664,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
